unit,run_id,id,trial_id,source,pass,retry_of,effective,model_requested,model_returned,provider,fault,rep,control_type,branch,variant,condition,state,state_reason,runtime_state,state_mismatch,retry,recovered,any_tool,category,looks_stale,script_run,token_in_result,token_in_text,tool_calls,tool_log_mismatch,flag_dotdot,flag_stash,hit_step_cap,finish_reason,steps,input_tokens,output_tokens,reasoning_tokens,billed_output_tokens,cost_usd,priced,turn_wall_ms,trial_wall_ms
turn1,synthetic,t0001,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,,,,VALID,,VALID,0,,,,,,,,,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,60000
turn1,synthetic,t0002,t0002,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0002.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,1,,,,,VALID,,VALID,0,,,,,,,,,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,60000
turn1,synthetic,t0003,t0003,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0003.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F03,2,,,,,INVALID_NO_ATTEMPT,,INVALID_NO_ATTEMPT,0,,,,,,,,,0,0,0,0,0,stop,1,1000,100,50,150,0.000675,1,1000,60000
turn1,synthetic,t0004,t0004,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0004.json.gz,,,0,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,,,,INFRA_ERROR,API_ERROR,INFRA_ERROR,0,,,,,,,,,0,0,0,0,0,,0,0,0,0,0,0,1,1000,60000
turn1,synthetic,t0006,t0006,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0006.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F01,1,,,,,VALID,,VALID,0,,,,,,,,,1,0,0,0,0,stop,2,1000,100,0,100,0.0015,1,1000,60000
turn1,synthetic,t0007,t0007,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0007.json.gz,,,1,claude-haiku-4-5,claude-haiku-4-5-20251001,anthropic,F03,1,,,,,INVALID_MODIFIED,,INVALID_MODIFIED,0,,,,,,,,,1,0,0,0,0,stop,2,1000,100,0,100,0.0015,1,1000,60000
turn1,synthetic,t0005,t0005,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0005.json.gz,retry1,t0004,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,2,,,,,VALID,,VALID,0,,,,,,,,,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,60000
turn1,synthetic,t0008,t0008,,,,1,claude-haiku-4-5,,,F03,2,,,,,MISSING_RECORD,"planned, but no record was written",,,,,,,,,,,,,,,,,,,,,,,,,
branch,synthetic,t0001/V1_C1,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V1_C1,V1,C1,RAN,,,,0,0,0,NO_TOOL,1,0,0,0,0,0,0,0,0,stop,1,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0001/V1_C2,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V1_C2,V1,C2,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0001/V1_C3,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V1_C3,V1,C3,RAN,,,,1,1,1,RECOVERED,,1,1,1,1,0,0,0,0,stop,2,1000,100,50,150,0.000675,1,1000,
branch,synthetic,t0001/V1_C4,t0001,research/pilot/ws/_tests/20260925T110033-29748/020-synthetic-run/runs/synthetic/trials/t0001.json.gz,,,1,gemini-2.5-flash,gemini-2.5-flash,google,F01,1,,V1_C4,V1,C4,RAN,,,,0,0,0,NO_TOOL,1,0,0,0,0,0,0,0,0,stop,1,1000,100,50,150,0.000675,1,1000,
