model,condition,trial_id,branch,auto_category,looks_stale,render_path,human_label,seed
gemini-2.5-flash,C1,t0001,V1_C1,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0001.md,,20260925
gemini-2.5-flash,C1,t0003,V1_C1,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0003.md,,20260925
gemini-2.5-flash,C1,t0003,V2_C1,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0003.md,,20260925
gemini-2.5-flash,C1,t0001,V2_C1,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0001.md,,20260925
gemini-2.5-flash,C2,t0001,V1_C2,NO_TOOL,1,research/pilot/results/m2-dryrun-20260925/renders/t0001.md,,20260925
gemini-2.5-flash,C2,t0001,V2_C2,NO_TOOL,1,research/pilot/results/m2-dryrun-20260925/renders/t0001.md,,20260925
gemini-2.5-flash,C2,t0003,V1_C2,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0003.md,,20260925
gemini-2.5-flash,C2,t0003,V2_C2,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0003.md,,20260925
gemini-2.5-flash,C3,t0001,V2_C3,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0001.md,,20260925
gemini-2.5-flash,C3,t0003,V2_C3,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0003.md,,20260925
gemini-2.5-flash,C3,t0003,V1_C3,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0003.md,,20260925
gemini-2.5-flash,C3,t0001,V1_C3,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0001.md,,20260925
gemini-2.5-flash,C4,t0001,V1_C4,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0001.md,,20260925
gemini-2.5-flash,C4,t0001,V2_C4,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0001.md,,20260925
gemini-2.5-flash,C4,t0003,V1_C4,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0003.md,,20260925
gemini-2.5-flash,C4,t0003,V2_C4,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0003.md,,20260925
gemini-2.5-flash,C5,t0003,V2_C5,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0003.md,,20260925
gemini-2.5-flash,C5,t0003,V1_C5,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0003.md,,20260925
gemini-2.5-flash,C5,t0001,V2_C5,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0001.md,,20260925
gemini-2.5-flash,C5,t0001,V1_C5,RECOVERED,,research/pilot/results/m2-dryrun-20260925/renders/t0001.md,,20260925
